"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Apr 25 04:37:45 BRT 2026","Sat Apr 25 04:37:45 BRT 2026","0","Login no aplicativo móvel","","","","","Então devo ver a tela de produtos",""
"broken","Sat Apr 25 04:37:53 BRT 2026","Sat Apr 25 04:37:56 BRT 2026","3056","Login no aplicativo móvel","","","","","Dado que estou na tela de login",""
"skipped","Sat Apr 25 04:37:56 BRT 2026","Sat Apr 25 04:37:56 BRT 2026","0","Login no aplicativo móvel","","","","","E toco no primeiro produto da lista",""
"broken","Sat Apr 25 04:37:47 BRT 2026","Sat Apr 25 04:37:50 BRT 2026","3055","Login no aplicativo móvel","","","","","Dado que estou na tela de login",""
"skipped","Sat Apr 25 04:37:50 BRT 2026","Sat Apr 25 04:37:50 BRT 2026","0","Login no aplicativo móvel","","","","","Quando faço login com usuário ""usuario@invalido.com"" e senha ""senhaerrada""",""
"unknown","Sat Apr 25 04:37:45 BRT 2026","","","Login no aplicativo móvel","","","","","Login com credenciais inválidas exibe mensagem de erro",""
"skipped","Sat Apr 25 04:38:02 BRT 2026","Sat Apr 25 04:38:02 BRT 2026","0","Formulário de checkout no aplicativo móvel","","","","","Quando preencho o formulário com os dados:",""
"skipped","Sat Apr 25 04:37:50 BRT 2026","Sat Apr 25 04:37:50 BRT 2026","1","Login no aplicativo móvel","","","","","Então devo ver a mensagem de erro de login",""
"broken","Sat Apr 25 04:37:59 BRT 2026","Sat Apr 25 04:38:02 BRT 2026","3057","Formulário de checkout no aplicativo móvel","","","","","Dado que estou autenticado com usuário ""bob@example.com"" e senha ""10203040""",""
"broken","Sat Apr 25 04:37:37 BRT 2026","Sat Apr 25 04:37:45 BRT 2026","7921","Login no aplicativo móvel","","","","","Dado que estou na tela de login",""
"skipped","Sat Apr 25 04:37:45 BRT 2026","Sat Apr 25 04:37:45 BRT 2026","0","Login no aplicativo móvel","","","","","Quando faço login com usuário ""bob@example.com"" e senha ""10203040""",""
"skipped","Sat Apr 25 04:38:02 BRT 2026","Sat Apr 25 04:38:02 BRT 2026","1","Formulário de checkout no aplicativo móvel","","","","","E toco em ""To Payment button""",""
"skipped","Sat Apr 25 04:38:08 BRT 2026","Sat Apr 25 04:38:08 BRT 2026","0","Formulário de checkout no aplicativo móvel","","","","","E naveguei até o checkout",""
"unknown","Sat Apr 25 04:38:02 BRT 2026","","","Formulário de checkout no aplicativo móvel","","","","","Enviar formulário sem nome completo exibe erro",""
"skipped","Sat Apr 25 04:38:02 BRT 2026","Sat Apr 25 04:38:02 BRT 2026","0","Formulário de checkout no aplicativo móvel","","","","","Então devo avançar para a tela de pagamento",""
"skipped","Sat Apr 25 04:38:02 BRT 2026","Sat Apr 25 04:38:02 BRT 2026","0","Formulário de checkout no aplicativo móvel","","","","","E naveguei até o checkout",""
"unknown","Sat Apr 25 04:37:50 BRT 2026","","","Login no aplicativo móvel","","","","","Login e navegação para detalhes do produto",""
"skipped","Sat Apr 25 04:38:02 BRT 2026","Sat Apr 25 04:38:02 BRT 2026","1","Formulário de checkout no aplicativo móvel","","","","","E adicionei um produto ao carrinho",""
"skipped","Sat Apr 25 04:38:08 BRT 2026","Sat Apr 25 04:38:08 BRT 2026","0","Formulário de checkout no aplicativo móvel","","","","","Quando toco em ""To Payment button"" sem preencher o formulário",""
"broken","Sat Apr 25 04:38:05 BRT 2026","Sat Apr 25 04:38:08 BRT 2026","3049","Formulário de checkout no aplicativo móvel","","","","","Dado que estou autenticado com usuário ""bob@example.com"" e senha ""10203040""",""
"skipped","Sat Apr 25 04:37:56 BRT 2026","Sat Apr 25 04:37:56 BRT 2026","1","Login no aplicativo móvel","","","","","Quando faço login com usuário ""bob@example.com"" e senha ""10203040""",""
"skipped","Sat Apr 25 04:38:08 BRT 2026","Sat Apr 25 04:38:08 BRT 2026","0","Formulário de checkout no aplicativo móvel","","","","","Então devo ver o erro de campo obrigatório no formulário",""
"unknown","Sat Apr 25 04:37:56 BRT 2026","","","Formulário de checkout no aplicativo móvel","","","","","Preencher formulário completo e avançar para pagamento",""
"skipped","Sat Apr 25 04:37:56 BRT 2026","Sat Apr 25 04:37:56 BRT 2026","0","Login no aplicativo móvel","","","","","Então devo ver os detalhes do produto",""
"unknown","Sat Apr 25 04:37:34 BRT 2026","","","Login no aplicativo móvel","","","","","Login bem-sucedido exibe a tela de produtos",""
"skipped","Sat Apr 25 04:38:08 BRT 2026","Sat Apr 25 04:38:08 BRT 2026","1","Formulário de checkout no aplicativo móvel","","","","","E adicionei um produto ao carrinho",""
